uniprotID	gene	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	down_regulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs	dominant_direction
A0A024RDA0	KIT	9	1200	1	305	26	3915	1.1293202195355723	0.17545462130358108	0.4411372533427861	0.9974350724367091	0.3554262651913431	0.001115364914595731	0.4937861748819118	-1.018041650687998	0.8680669280057445	1	0.061446789405261694	0	1.1293202195355723	0.17545462130358108	0.4411372533427861	0.8100387327618921	0.3554262651913431	0.09149421442679952	upregulated set
A0A0B4J1T8	EPHA6	9	1200	3	305	23	3915	1.2765658509612532	0.35226796031053126	0.3295745216260984	0.9974350724367091	0.48204636962324426	0.001115364914595731	1.6740082991707648	0.7433066803033261	0.2910276377754903	1	0.5360657657789268	0	0.5973686035459675	-0.7433066803033261	0.2910276377754903	0.6444183407885857	0.5360657657789268	0.19083210762289216	downregulated set
A0A0S2Z3Q6	FGFR1	8	1200	3	305	44	3915	0.5932523657423447	-0.7532821463489758	0.9434075192187861	0.9974350724367091	0.02530066662941673	0.001115364914595731	0.8752060875343199	-0.19230532199337458	0.6703742471249649	1	0.17368267777029922	0	1.1425880306857286	0.19230532199337458	0.6703742471249649	0.9168353673914961	0.17368267777029922	0.037708641922600414	downregulated set
A0A0S2Z3Y8	LCK	6	1200	2	305	29	3915	0.6750583025785846	-0.5669159864889088	0.86179786799527	0.9974350724367091	0.06459458464894477	0.001115364914595731	0.8852652499084458	-0.17581830365576362	0.6668874054624607	1	0.17594748439541896	0	1.1296049405569915	0.17581830365576362	0.6668874054624607	0.9168353673914961	0.17594748439541896	0.037708641922600414	downregulated set
A0A140VJJ0	EPHA3	17	1200	11	305	24	3915	2.3105053913238187	1.2082084558870756	0.0082755870262321	0.1531949661576357	2.082201189913453	0.8147555049767761	5.877747256030344	2.5552633242306286	2.63377340833712e-5	0.0012247046348767608	4.579421591463022	2.9119686385730676	0.17013320859858994	-2.5552633242306286	2.63377340833712e-5	0.0012247046348767608	4.579421591463022	2.9119686385730676	downregulated set
A4D1H4	PDK4	60	1200	2	305	116	3915	1.6873108521165394	0.7547257848253974	0.001115632132421988	0.10375378831524489	2.9524789856819	0.9839960371279645	0.22135443394491763	-2.17556982257525	0.9984301462813904	1	6.823145146135451e-4	0	1.6873108521165394	0.7547257848253974	0.001115632132421988	0.024113156871097396	2.9524789856819	1.6177459284882452	upregulated set
A8K3B6	CSK	16	1200	3	305	30	3915	1.7397861099461343	0.7989099514259612	0.05615007189441458	0.37299690615575404	1.250649683332576	0.4282947704568789	1.2835214159222115	0.36010736789386066	0.4317685467707184	1	0.36474899808666433	0	1.7397861099461343	0.7989099514259612	0.05615007189441458	0.22704159505132854	1.250649683332576	0.6438945707962338	upregulated set
B4DSE0	EPHB2	14	1200	7	305	34	3915	1.3432994059111596	0.42578090065602997	0.220785955652724	0.8927432119871014	0.6560285558364654	0.049273443300123086	2.641791366113603	1.4015165351091894	0.027341940786572042	0.21190004109593333	1.5631706615683552	0.6738689590620448	0.3785310274032434	-1.4015165351091894	0.027341940786572042	0.13383160490269472	1.5631706615683552	0.873441313967249	downregulated set
B4DV95	MAP2K7	22	1200	3	305	86	3915	0.8346234734360171	-0.26080259852100457	0.8052726355997716	0.9974350724367091	0.09405705864995381	0.001115364914595731	0.4478300576578216	-1.1589767319970214	0.9592349577735864	1	0.018075002457661006	0	0.8346234734360171	-0.26080259852100457	0.8052726355997716	0.9640605968169302	0.09405705864995381	0.01589566730452151	upregulated set
B4DVP5	FGFR4	20	1200	2	305	39	3915	1.6728871982455322	0.7423401686169527	0.04630590960090103	0.33126535329875356	1.3343635804013847	0.47982398415428634	0.6582878509087136	-0.6032095226747703	0.8064079080074105	1	0.09344522198592407	0	1.6728871982455322	0.7423401686169527	0.04630590960090103	0.2050690282325617	1.3343635804013847	0.6880999265813689	upregulated set
B4E058	MST1R	6	1200	3	305	40	3915	0.48945386537517266	-1.030755213262994	0.9736713255877962	0.9974350724367091	0.011587619684937649	0.001115364914595731	0.9627127392330596	-0.05482271375313475	0.6104447842529417	1	0.21435361260155503	0	1.038731450460129	0.05482271375313475	0.6104447842529417	0.891772971107931	0.21435361260155503	0.04974569488904417	downregulated set
B6D4Y2	ALK	3	1200	1	305	19	3915	0.5152079354350823	-0.9567732803077487	0.9176515748272234	0.9974350724367091	0.037322185741684416	0.001115364914595731	0.6756135657891578	-0.5657297982752184	0.7772327347494633	1	0.10944891648492205	0	1.4801360580022385	0.5657297982752184	0.7772327347494633	0.9640605968169302	0.10944891648492205	0.01589566730452151	downregulated set
B7ZKJ3	EPHA5	16	1200	1	305	32	3915	1.631075595262305	0.7058236480109786	0.07941549333141229	0.4344494635189025	1.100094761906139	0.36206073473047784	0.4011863126855569	-1.3176557086718528	0.9157314967330519	1	0.038231847927319804	0	1.631075595262305	0.7058236480109786	0.07941549333141229	0.263772888565048	1.100094761906139	0.578769844694423	upregulated set
E9PJX5	BLK	8	1200	2	305	26	3915	1.0038454389944913	0.005537156179506259	0.562788134447503	0.9974350724367091	0.24965506759531786	0.001115364914595731	0.9873925248262242	-0.018304371863202114	0.6114682837457306	1	0.21362606446814802	0	1.0038454389944913	0.005537156179506259	0.562788134447503	0.891772971107931	0.24965506759531786	0.04974569488904417	upregulated set
H0YNK6	TYRO3	5	1200	5	305	30	3915	0.5438249493092244	-0.8787857548174133	0.9376277401078604	0.9974350724367091	0.027969552352481893	0.001115364914595731	2.1389054858270886	1.096872733956372	0.10704631938595528	0.6222067314308651	0.9704282606240943	0.2060652947260839	0.4675288396921906	-1.096872733956372	0.10704631938595528	0.3244920654779867	0.9704282606240943	0.48879591815870166	downregulated set
M0R0W6	AXL	8	1200	1	305	34	3915	0.7676895584344242	-0.3814050691638888	0.8013819089683316	0.9974350724367091	0.0961604659012078	0.001115364914595731	0.37758942212525176	-1.4051097456039165	0.9274174021880919	1	0.0327247592021787	0	0.7676895584344242	-0.3814050691638888	0.8013819089683316	0.9640605968169302	0.0961604659012078	0.01589566730452151	upregulated set
O15146	MUSK	6	1200	1	305	20	3915	0.978748242395749	-0.030990283226175516	0.5941270958986347	0.9974350724367091	0.2261206406364131	0.001115364914595731	0.6418346495742474	-0.639726418979726	0.7933060153829611	1	0.10055925258673075	0	0.978748242395749	-0.030990283226175516	0.5941270958986347	0.891772971107931	0.2261206406364131	0.04974569488904417	upregulated set
O60674	JAK2	10	1200	2	305	64	3915	0.5098450805042672	-0.9718691527854706	0.9881768305540961	0.9974350724367091	0.005165333082170013	0.001115364914595731	0.40118609455713605	-1.3176564930776677	0.9560001316197445	1	0.019542047931300745	0	0.5098450805042672	-0.9718691527854706	0.9881768305540961	0.9964827331175554	0.005165333082170013	0.0015302222788321856	upregulated set
P04626	ERBB2	10	1200	2	305	24	3915	1.3592871572981549	0.4428502660003382	0.26289640580716933	0.9855814442663569	0.5802153513176898	0.006307481649403536	1.0696852524016005	0.097186355880188	0.5707263464520305	1	0.24357207864321093	0	1.3592871572981549	0.4428502660003382	0.26289640580716933	0.6269068138478653	0.5802153513176898	0.2027970097902539	upregulated set
P04629	NTRK1	16	1200	2	305	34	3915	1.5351521108435635	0.6183816123949429	0.10816402182599556	0.5294344226219783	0.9659171728783641	0.27618782527725794	0.7550902101919115	-0.4052790822086165	0.7447671149311521	1	0.12797950780442371	0	1.5351521108435635	0.6183816123949429	0.10816402182599556	0.3244920654779867	0.9659171728783641	0.48879591815870166	upregulated set
P06213	INSR	17	1200	2	305	25	3915	2.2181227256351344	1.149339190011339	0.010893039970917754	0.1531949661576357	1.9628509027644738	0.8147555049767761	1.0268844389942897	0.038273836310022326	0.5914795032870085	1	0.2280603005095633	0	2.2181227256351344	1.149339190011339	0.010893039970917754	0.0835209350171389	1.9628509027644738	1.0782046523864621	upregulated set
P06241	FYN	10	1200	2	305	30	3915	1.0874936302530778	0.12100695072761021	0.47030251283938407	0.9974350724367091	0.32762270080024636	0.001115364914595731	0.855759942159186	-0.22472194642475027	0.6838741808377301	1	0.1650237924233819	0	1.0874936302530778	0.12100695072761021	0.47030251283938407	0.8100387327618921	0.32762270080024636	0.09149421442679952	upregulated set
P07332	FES	4	1200	2	305	17	3915	0.7676894046045316	-0.3814053582516366	0.761372240251654	0.9974350724367091	0.11840296167623936	0.001115364914595731	1.5099348888315618	0.5944863392290826	0.40498228746325515	1	0.3925639709215961	0	0.6622802131380867	-0.5944863392290826	0.40498228746325515	0.8100387327618921	0.3925639709215961	0.09149421442679952	downregulated set
P07333	CSF1R	6	1200	3	305	32	3915	0.6117864153499485	-0.7089000225202617	0.9093175452942067	0.9974350724367091	0.041284429114029964	0.001115364914595731	1.203323386302027	0.26702441069152555	0.47034507063593733	1	0.32758340315776613	0	0.8310318002487538	-0.26702441069152555	0.47034507063593733	0.8100387327618921	0.32758340315776613	0.09149421442679952	downregulated set
P07947	YES1	7	1200	4	305	31	3915	0.7367415104314958	-0.4407695638054052	0.8207878290879621	0.9974350724367091	0.08576909204601027	0.001115364914595731	1.656014171772067	0.7277150191281786	0.24697690727781488	1	0.6073436520466823	0	0.6038595665699651	-0.7277150191281786	0.24697690727781488	0.604443483600968	0.6073436520466823	0.21864430010955732	downregulated set
P07948	LYN	7	1200	1	305	20	3915	1.1418681352194813	0.19139605556139547	0.45462249438896185	0.9974350724367091	0.3423490795056591	0.001115364914595731	0.6418346495742474	-0.639726418979726	0.7933060153829611	1	0.10055925258673075	0	1.1418681352194813	0.19139605556139547	0.45462249438896185	0.8100387327618921	0.3423490795056591	0.09149421442679952	upregulated set
P07949	RET	7	1200	3	305	56	3915	0.40784942046739703	-1.293891492795948	0.9958927775960577	0.9974350724367091	0.0017874172038503957	0.001115364914595731	0.6876715260413062	-0.5402084847741347	0.8085669521690383	1	0.09228401316797621	0	1.4541826469923276	0.5402084847741347	0.8085669521690383	0.9640605968169302	0.09228401316797621	0.01589566730452151	downregulated set
P08069	IGF1R	15	1200	1	305	29	3915	1.687304553073828	0.7547203989685864	0.07383326679760971	0.42915586326110644	1.1317479155300183	0.3673849496320081	0.44268361775639425	-1.1756521097933992	0.894567668872081	1	0.048386801987397504	0	1.687304553073828	0.7547203989685864	0.07383326679760971	0.26260950789632054	1.1317479155300183	0.5806895541332289	upregulated set
P08631	HCK	6	1200	2	305	22	3915	0.8897931219177214	-0.16845814833314376	0.6714224757089166	0.9974350724367091	0.17300412493938755	0.001115364914595731	1.1668688246838717	0.22264238742499318	0.5269409379446434	1	0.2782380598580093	0	0.856994358616891	-0.22264238742499318	0.5269409379446434	0.8750983433723543	0.2782380598580093	0.05794313831027454	downregulated set
P08922	ROS1	5	1200	3	305	42	3915	0.3884317194017951	-1.364267078591699	0.9923115879896209	0.9974350724367091	0.0033519370224738827	0.001115364914595731	0.9168769314543295	-0.1251999949775198	0.6412994696463246	1	0.1929391192434812	0	1.0906589158196212	0.1251999949775198	0.6412994696463246	0.9036492526834574	0.1929391192434812	0.04400010623141471	downregulated set
P09619	PDGFRB	6	1200	1	305	32	3915	0.6117864153499485	-0.7089000225202617	0.9093175452942067	0.9974350724367091	0.041284429114029964	0.001115364914595731	0.4011863126855569	-1.3176557086718528	0.9157314967330519	1	0.038231847927319804	0	0.6117864153499485	-0.7089000225202617	0.9093175452942067	0.9964827331175554	0.041284429114029964	0.0015302222788321856	upregulated set
P09769	FGR	14	1200	3	305	48	3915	0.9515411763388288	-0.07166200684367378	0.6136932274291138	0.9974350724367091	0.2120486694590921	0.001115364914595731	0.8022785211211885	-0.3178249214445431	0.7231919356421765	1	0.14074642535021242	0	0.9515411763388288	-0.07166200684367378	0.6136932274291138	0.891772971107931	0.2120486694590921	0.04974569488904417	upregulated set
P12931	SRC	9	1200	3	305	31	3915	0.9472132770276714	-0.07823879161503762	0.6177384832953913	0.9974350724367091	0.2091953425473069	0.001115364914595731	1.2421291595121828	0.31281519618275283	0.451199228062384	1	0.34563165204008156	0	0.8050692573650928	-0.31281519618275283	0.451199228062384	0.8100387327618921	0.34563165204008156	0.09149421442679952	downregulated set
P14616	INSRR	10	1200	3	305	31	3915	1.052413787662211	0.0737020544731467	0.5049024981481054	0.9974350724367091	0.29679248050425	0.001115364914595731	1.2421291595121828	0.31281519618275283	0.451199228062384	1	0.34563165204008156	0	0.8050692573650928	-0.31281519618275283	0.451199228062384	0.8100387327618921	0.34563165204008156	0.09149421442679952	downregulated set
P16234	PDGFRA	5	1200	1	305	33	3915	0.49439641043007415	-1.016259826308365	0.9619975980404826	0.9974350724367091	0.016826012327121005	0.001115364914595731	0.3890303736548457	-1.3620452964611167	0.9217931239074022	1	0.035366535808168204	0	0.49439641043007415	-1.016259826308365	0.9619975980404826	0.9964827331175554	0.016826012327121005	0.0015302222788321856	upregulated set
P16591	FER	7	1200	3	305	23	3915	0.9929354897106529	-0.010228104926022899	0.5772617139636683	0.9974350724367091	0.23862724549062073	0.001115364914595731	1.6740082991707648	0.7433066803033261	0.2910276377754903	1	0.5360657657789268	0	0.5973686035459675	-0.7433066803033261	0.2910276377754903	0.6444183407885857	0.5360657657789268	0.19083210762289216	downregulated set
P17948	FLT1	19	1200	2	305	32	3915	1.9369337514545621	0.9537746105842015	0.019491208255355264	0.18126823677480397	1.7101612382364588	0.7416782896825238	0.8022799153860033	-0.3178224142140325	0.7156977999794925	1	0.14527031778429028	0	1.9369337514545621	0.9537746105842015	0.019491208255355264	0.11329264798425247	1.7101612382364588	0.9457982723384486	upregulated set
P21709	EPHA1	4	1200	3	305	11	3915	1.1863569849441438	0.24653819446553227	0.4826925623786109	0.9974350724367091	0.31632939300400004	0.001115364914595731	3.498986530027873	1.806937110676821	0.07624147003441563	0.4726971142133769	1.1178087385281767	0.3254170490299229	0.285797041920031	-1.806937110676821	0.07624147003441563	0.26260950789632054	1.1178087385281767	0.5806895541332289	downregulated set
P21802	FGFR2	14	1200	1	305	37	3915	1.2344144373786687	0.3038268404924494	0.3001811896108165	0.9974350724367091	0.5226165256309767	0.001115364914595731	0.34697682202557717	-1.5270888005725387	0.9419713265386565	1	0.02596231686271305	0	1.2344144373786687	0.3038268404924494	0.3001811896108165	0.6492290845071148	0.5226165256309767	0.18760203265662811	upregulated set
P22607	FGFR3	14	1200	3	305	32	3915	1.4272358608711377	0.5132237701263074	0.17351784123055639	0.8068579617220872	0.760655864102952	0.09320291121299813	1.203323386302027	0.26702441069152555	0.47034507063593733	1	0.32758340315776613	0	1.4272358608711377	0.5132237701263074	0.17351784123055639	0.4482544231789374	0.760655864102952	0.3484754163163042	upregulated set
P23458	JAK1	9	1200	4	305	46	3915	0.6383797182202076	-0.6475132780513115	0.9237388170275815	0.9974350724367091	0.03445080622375993	0.001115364914595731	1.1161378595047682	0.15851523231090422	0.4942824103792085	1	0.3060248441440576	0	0.8959466713580536	-0.15851523231090422	0.4942824103792085	0.8357866211866617	0.3060248441440576	0.07790458508436632	downregulated set
P29322	EPHA8	11	1200	3	305	14	3915	2.56282499339259	1.3577349652525972	0.019150374013880225	0.18126823677480397	1.7178227396808339	0.7416782896825238	2.749474421151757	1.4591558650135152	0.12133192029271467	0.6268815881790258	0.9160249288671738	0.20281448541654468	0.36370587495085666	-1.4591558650135152	0.12133192029271467	0.3419354117340141	0.9160249288671738	0.46605592019112607	downregulated set
P29376	LTK	6	1200	2	305	17	3915	1.1514069677545657	0.20339784788171453	0.4625758873045013	0.9974350724367091	0.33481700944592563	0.001115364914595731	1.5099348888315618	0.5944863392290826	0.40498228746325515	1	0.3925639709215961	0	0.6622802131380867	-0.5944863392290826	0.40498228746325515	0.8100387327618921	0.3925639709215961	0.09149421442679952	downregulated set
P30291	WEE1	5	1200	1	305	37	3915	0.4409576469030494	-1.1812880004134876	0.9809699721056628	0.9974350724367091	0.008344286349313643	0.001115364914595731	0.34697682202557717	-1.5270888005725387	0.9419713265386565	1	0.02596231686271305	0	0.4409576469030494	-1.1812880004134876	0.9809699721056628	0.9964827331175554	0.008344286349313643	0.0015302222788321856	upregulated set
P35916	FLT4	10	1200	1	305	26	3915	1.2547490155065442	0.32739881413935545	0.3300982526321136	0.9974350724367091	0.48135677459195275	0.001115364914595731	0.4937861748819118	-1.018041650687998	0.8680669280057445	1	0.061446789405261694	0	1.2547490155065442	0.32739881413935545	0.3300982526321136	0.6977076703360584	0.48135677459195275	0.15632650252420502	upregulated set
P36888	FLT3	3	1200	1	305	28	3915	0.3495945926790211	-1.5162452246240568	0.9862309474993971	0.9974350724367091	0.00602137361857117	0.001115364914595731	0.4584918900439365	-1.125031879707976	0.8863875742156044	1	0.052376340710660226	0	2.1810636604808247	1.125031879707976	0.8863875742156044	0.9964827331175554	0.052376340710660226	0.0015302222788321856	downregulated set
P42679	MATK	7	1200	1	305	34	3915	0.671750144897694	-0.5740033674570162	0.8771806828362338	0.9974350724367091	0.056910940868207666	0.001115364914595731	0.37758942212525176	-1.4051097456039165	0.9274174021880919	1	0.0327247592021787	0	0.671750144897694	-0.5740033674570162	0.8771806828362338	0.9964827331175554	0.056910940868207666	0.0015302222788321856	upregulated set
P42680	TEC	2	1200	5	305	19	3915	0.3434625890037153	-1.5417751300452722	0.9727691649954291	0.9974350724367091	0.011990204194464215	0.001115364914595731	3.376299626179434	1.7554429401890506	0.02700654026759255	0.21190004109593333	1.5685310485016486	0.6738689590620448	0.296182244089392	-1.7554429401890506	0.02700654026759255	0.13383160490269472	1.5685310485016486	0.873441313967249	downregulated set
P42681	TXK	10	1200	14	305	37	3915	0.8817785710360738	-0.18151167785164016	0.6920300511523068	0.9974350724367091	0.15987504605444303	0.001115364914595731	4.853543202458239	2.2790383337549187	1.2925171887125961e-5	0.0012020409855027143	4.888563672672399	2.9200807241184643	0.20603504662192285	-2.2790383337549187	1.2925171887125961e-5	0.0012020409855027143	4.888563672672399	2.9200807241184643	downregulated set
P42684	ABL2	5	1200	3	305	46	3915	0.3546596160932395	-1.495493030131373	0.9963789421149816	0.9974350724367091	0.0015754595978995263	0.001115364914595731	0.8371574303435696	-0.25642914281796697	0.6976655695159478	1	0.1563527093530892	0	1.1945184546586414	0.25642914281796697	0.6976655695159478	0.9403318545649731	0.1563527093530892	0.0267188515364094	downregulated set
P42685	FRK	2	1200	8	305	16	3915	0.4078518946826799	-1.2938827407244424	0.9468903501901184	0.9974350724367091	0.023700309343590766	0.001115364914595731	6.4122238881237505	2.680824799267701	2.066764015959152e-4	0.006406968449473371	3.684709108480363	2.1933474146460905	0.15595213414992048	-2.680824799267701	2.066764015959152e-4	0.006406968449473371	3.684709108480363	2.1933474146460905	downregulated set
P43403	ZAP70	21	1200	13	305	61	3915	1.123148862527774	0.16754915569716897	0.3654157799340197	0.9974350724367091	0.43721270222076575	0.001115364914595731	2.734513279395884	1.451284068158569	0.0026509908571556275	0.041090358285912225	2.576591770076679	1.3862600719063876	0.3656957922036212	-1.451284068158569	0.0026509908571556275	0.03522030710221048	2.576591770076679	1.4532068615370008	downregulated set
P45985	MAP2K4	46	1200	3	305	107	3915	1.4024721414639203	0.4879721135998263	0.03861293957346795	0.2992502816943766	1.4132671346116354	0.5239654321053253	0.3599462806647675	-1.4741464838919978	0.9874935235049707	1	0.005465744020769893	0	1.4024721414639203	0.4879721135998263	0.03861293957346795	0.179550169016626	1.4132671346116354	0.7458141817216816	upregulated set
P51813	BMX	7	1200	2	305	34	3915	0.671750144897694	-0.5740033674570162	0.8771806828362338	0.9974350724367091	0.056910940868207666	0.001115364914595731	0.7550902101919115	-0.4052790822086165	0.7447671149311521	1	0.12797950780442371	0	1.3243450736115927	0.4052790822086165	0.7447671149311521	0.9640605968169302	0.12797950780442371	0.01589566730452151	downregulated set
P53667	LIMK1	15	1200	3	305	82	3915	0.5968707404088793	-0.7445095626638256	0.9793804663908148	0.9974350724367091	0.00904856217534589	0.001115364914595731	0.4696728207689331	-1.0902719853802354	0.9493286015773699	1	0.022583434411401926	0	0.5968707404088793	-0.7445095626638256	0.9793804663908148	0.9964827331175554	0.00904856217534589	0.0015302222788321856	upregulated set
P53671	LIMK2	22	1200	10	305	120	3915	0.5981988282894946	-0.7413030102786281	0.9920196566337365	0.9974350724367091	0.00347972231861673	0.001115364914595731	1.069682516693792	0.09718266619939007	0.4696510376811901	1	0.3282247137645014	0	0.9348568237712542	-0.09718266619939007	0.4696510376811901	0.8100387327618921	0.3282247137645014	0.09149421442679952	downregulated set
P54753	EPHB3	7	1200	4	305	22	3915	1.038063417055225	0.05389458307569681	0.5377101714185606	0.9974350724367091	0.2694517482556804	0.001115364914595731	2.3332148551637455	1.2223191646761284	0.11602062452536495	0.6268815881790258	0.9354648011060548	0.20281448541654468	0.42859319097289894	-1.2223191646761284	0.11602062452536495	0.3371849400268419	0.9354648011060548	0.47213183087202565	downregulated set
P54760	EPHB4	13	1200	5	305	33	3915	1.2851605553797898	0.3619486068749221	0.271224362432022	0.9855814442663569	0.5666713030255158	0.006307481649403536	1.9444956847063763	0.9593960330957938	0.13891387863865942	0.6459495356697663	0.8572543625051355	0.1898014096151816	0.5142721621164217	-0.9593960330957938	0.13891387863865942	0.36911402038272356	0.8572543625051355	0.43283945830147613	downregulated set
P54762	EPHB1	4	1200	2	305	26	3915	0.5020005404697298	-0.9942391774591655	0.944512215285936	0.9974350724367091	0.02479242101692581	0.001115364914595731	0.9873925248262242	-0.018304371863202114	0.6114682837457306	1	0.21362606446814802	0	1.012768453129615	0.018304371863202114	0.6114682837457306	0.891772971107931	0.21362606446814802	0.04974569488904417	downregulated set
Q01538	MYT1	16	1200	2	305	84	3915	0.6214971487263796	-0.6861803223187706	0.97316449793081	0.9974350724367091	0.01181374297383409	0.001115364914595731	0.3056731614533068	-1.7099382078178544	0.9874740508556588	1	0.005474308074432606	0	0.6214971487263796	-0.6861803223187706	0.97316449793081	0.9964827331175554	0.01181374297383409	0.0015302222788321856	upregulated set
Q02763	TEK	8	1200	3	305	38	3915	0.6868987218497087	-0.5418306949070498	0.8759912055956235	0.9974350724367091	0.05750025385528032	0.001115364914595731	1.0133719039629812	0.019163735379073107	0.5778404817679248	1	0.2381920360595326	0	0.9868045444020228	-0.019163735379073107	0.5778404817679248	0.891772971107931	0.2381920360595326	0.04974569488904417	downregulated set
Q05397	PTK2	28	1200	3	305	51	3915	1.7909269289964438	0.8407064756125284	0.01153080390433817	0.1531949661576357	1.9381404135164544	0.8147555049767761	0.7550881800622788	-0.40528296103243266	0.758255617808443	1	0.12018436337909362	0	1.7909269289964438	0.8407064756125284	0.01153080390433817	0.0835209350171389	1.9381404135164544	1.0782046523864621	upregulated set
Q06187	BTK	4	1200	5	305	16	3915	0.8156587719251512	-0.29396236304666545	0.7247785972680687	0.9974350724367091	0.13979463986989701	0.001115364914595731	4.009347534300888	2.0033674771747596	0.015516293486088935	0.1443015294206271	1.809212014442985	0.8407290658890498	0.24941714117939903	-2.0033674771747596	0.015516293486088935	0.0962010196137514	1.809212014442985	1.0168203249447312	downregulated set
